"","name","year","rating","synopsis"
"1","The Lord of the Rings: The Return of the King","(2003)","9.0","
Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring."
"2","Spider-Man: Across the Spider-Verse","(2023)","8.9","
Miles Morales catapults across the Multiverse, where he encounters a team of Spider-People charged with protecting its very existence. When the heroes clash on how to handle a new threat, Miles must redefine what it means to be a hero."
"3","Inception","(2010)","8.8","
A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster."
"4","The Lord of the Rings: The Fellowship of the Ring","(2001)","8.8","
A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron."
"5","Il buono, il brutto, il cattivo","(1966)","8.8","
A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery."
"6","The Lord of the Rings: The Two Towers","(2002)","8.8","
While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard."
"7","777 Charlie","(2022)","8.8","
Dharma is stuck in a rut with his negative and lonely lifestyle and spends each day in the comfort of his loneliness. A pup named Charlie enters his life and gives him a new perspective towards it."
"8","Interstellar","(2014)","8.7","
When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans."
"9","Star Wars: Episode V - The Empire Strikes Back","(1980)","8.7","
After the Rebels are overpowered by the Empire, Luke Skywalker begins his Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett."
"10","Star Wars","(1977)","8.6","
Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader."
"11","Sen to Chihiro no kamikakushi","(2001)","8.6","
During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, a world where humans are changed into beasts."
"12","Back to the Future","(1985)","8.5","
Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown."
"13","Gladiator","(2000)","8.5","
A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery."
"14","The Lion King","(1994)","8.5","
Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself."
"15","Spider-Man: Into the Spider-Verse","(2018)","8.4","
Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities."
"16","Raiders of the Lost Ark","(1981)","8.4","
In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before the Nazis can obtain its awesome powers."
"17","Avengers: Endgame","(2019)","8.4","
After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe."
"18","Aliens","(1986)","8.4","
Decades after surviving the Nostromo incident, Ellen Ripley is sent out to re-establish contact with a terraforming colony but finds herself battling the Alien Queen and her offspring."
"19","Avengers: Infinity War","(2018)","8.4","
The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe."
"20","Coco","(I) (2017)","8.4","
Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer."
"21","WALL·E","(2008)","8.4","
In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind."
